MARQUE_MODELE;ANNEE;CAF_XOF;COTE_EUR_IMPLICITE;PLANCHER;CATEGORIE_TAUX;TAUX_MARGINAL;DROITS_IM4_XOF_depuis_fev2025;NB_DECLARATIONS;FIABILITE_CAF_%
LEXUS RX 330;2004;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;271;74
TOYOTA HIGHLANDER;2004;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;189;67
TOYOTA HIGHLANDER;2005;2148066;3274;;A_TOURISME_13CV_PLUS;0.40208;962294;186;37
LEXUS RX330;2004;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;150;57
LEXUS RX 330;2005;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;141;61
TOYOTA HIGHLANDER;2008;4470165;6814;;A_TOURISME_13CV_PLUS;0.40208;1895964;110;56
TOYOTA YARIS;2007;1523592;2322;;B_TOURISME_STANDARD;0.31598;580025;100;28
TOYOTA AVENSIS;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;94;76
TOYOTA HIGHLANDER;2006;2922099;4454;;A_TOURISME_13CV_PLUS;0.40208;1273518;94;38
HYUNDAI TUCSON;2011;3420629;5214;;A_TOURISME_13CV_PLUS;0.40208;1473967;90;58
TOYOTA AVENSIS;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;86;65
TOYOTA AVENSIS;1999;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;84;57
TOYOTA MATRIX;2009;2551482;3889;;B_TOURISME_STANDARD;0.31598;904817;83;37
TOYOTA COROLLA;2003;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;81;74
TOYOTA CAMRY;2007;2058856;3138;;A_TOURISME_13CV_PLUS;0.40208;926425;79;41
TOYOTA COROLLA VERSO;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;78;68
TOYOTA RAV 4;2007;2840760;4330;;A_TOURISME_13CV_PLUS;0.40208;1240813;75;57
TOYOTA YARIS;2008;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;70;31
LEXUS RX330;2005;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;69;55
NISSAN ALMERA TINO;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;69;61
TOYOTA HIGHLANDER;2003;1500001;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;69;64
TOYOTA AVENSIS;1998;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;68;59
TOYOTA RAV 4;2006;2280570;3476;;A_TOURISME_13CV_PLUS;0.40208;1015572;68;31
